symbol,company_name,sector
RELIANCE,Reliance Industries Ltd,Energy
TCS,Tata Consultancy Services Ltd,Information Technology
INFY,Infosys Ltd,Information Technology
HDFCBANK,HDFC Bank Ltd,Banking
ICICIBANK,ICICI Bank Ltd,Banking
SBIN,State Bank of India,Banking
LT,Larsen & Toubro Ltd,Industrials
ITC,ITC Ltd,Consumer Staples
SUNPHARMA,Sun Pharmaceutical Industries Ltd,Healthcare
BAJFINANCE,Bajaj Finance Ltd,Financial Services
HINDUNILVR,Hindustan Unilever Ltd,Consumer Staples
KOTAKBANK,Kotak Mahindra Bank Ltd,Banking
ASIANPAINT,Asian Paints Ltd,Materials
MARUTI,Maruti Suzuki India Ltd,Consumer Discretionary
AXISBANK,Axis Bank Ltd,Banking
POWERGRID,Power Grid Corporation of India Ltd,Utilities
NTPC,NTPC Ltd,Utilities
TITAN,Titan Company Ltd,Consumer Discretionary
WIPRO,Wipro Ltd,Information Technology
ULTRACEMCO,UltraTech Cement Ltd,Materials
